"Date","Price","Open","High","Low","Change %"
"Mar 25, 2019","140.600","139.300","140.650","139.100","0.70%"
"Mar 23, 2019","139.625","139.625","139.625","139.625","-0.45%"
"Mar 22, 2019","140.250","139.050","140.900","139.050","0.05%"
"Mar 21, 2019","140.175","138.925","140.455","138.825","0.03%"
"Mar 20, 2019","140.135","140.065","140.815","138.865","0.02%"
"Mar 19, 2019","140.100","138.900","140.810","138.900","0.02%"
"Mar 18, 2019","140.075","139.225","140.815","138.925","0.16%"
"Mar 16, 2019","139.850","139.850","139.850","139.850","0.00%"
"Mar 15, 2019","139.850","138.850","140.350","138.850","0.00%"
"Mar 14, 2019","139.850","138.630","140.810","138.630","-0.02%"
"Mar 13, 2019","139.875","138.425","139.955","138.425","0.00%"
"Mar 12, 2019","139.875","138.425","139.925","138.425","0.10%"
"Mar 11, 2019","139.735","139.015","139.865","138.365","-0.01%"
"Mar 09, 2019","139.750","139.750","139.750","139.750","0.00%"
"Mar 08, 2019","139.750","139.900","140.510","138.450","-0.05%"
"Mar 07, 2019","139.825","139.775","139.835","138.395","0.02%"
"Mar 06, 2019","139.800","139.800","139.800","138.420","0.00%"
"Mar 05, 2019","139.800","139.720","140.830","138.400","0.03%"
"Mar 04, 2019","139.760","138.890","140.140","138.490","0.82%"
"Mar 02, 2019","138.625","138.625","138.625","138.625","0.00%"
"Mar 01, 2019","138.625","139.055","139.375","137.485","-0.87%"
"Feb 28, 2019","139.840","139.810","140.160","138.310","0.01%"
"Feb 27, 2019","139.825","139.825","140.325","138.925","0.81%"
"Feb 26, 2019","138.700","139.000","139.400","137.750","-0.77%"
"Feb 25, 2019","139.775","139.675","140.025","136.675","0.04%"
"Feb 23, 2019","139.725","139.725","139.725","139.725","0.00%"
"Feb 22, 2019","139.725","139.875","140.815","138.405","-0.05%"
"Feb 21, 2019","139.800","140.000","140.820","138.350","-0.07%"
"Feb 20, 2019","139.900","139.850","140.020","138.350","0.02%"
"Feb 19, 2019","139.875","139.425","140.025","138.525","0.16%"
"Feb 18, 2019","139.650","140.150","140.150","138.550","0.49%"
"Feb 16, 2019","138.975","138.975","138.975","138.975","-0.66%"
"Feb 15, 2019","139.900","139.900","139.980","138.400","0.65%"
"Feb 14, 2019","139.000","139.550","139.550","138.150","-0.64%"
"Feb 13, 2019","139.900","139.700","139.950","138.500","0.07%"
"Feb 12, 2019","139.800","139.800","140.080","138.600","0.00%"
"Feb 11, 2019","139.800","139.400","140.100","138.580","0.14%"
"Feb 09, 2019","139.600","139.600","139.600","139.600","0.00%"
"Feb 08, 2019","139.600","139.550","140.000","138.230","0.02%"
"Feb 07, 2019","139.575","139.525","139.625","138.205","0.02%"
"Feb 06, 2019","139.550","139.650","139.650","138.230","-0.04%"
"Feb 05, 2019","139.600","139.600","140.020","138.810","0.00%"
"Feb 04, 2019","139.600","139.450","140.020","138.290","0.05%"
"Feb 02, 2019","139.525","139.525","139.525","139.525","0.00%"
"Feb 01, 2019","139.525","139.075","139.685","138.255","0.16%"
"Jan 31, 2019","139.300","140.170","140.530","138.300","-0.31%"
"Jan 30, 2019","139.735","139.865","140.095","138.335","-0.05%"
"Jan 29, 2019","139.800","139.800","139.900","138.270","0.00%"
"Jan 28, 2019","139.800","139.950","140.070","138.400","-0.05%"
"Jan 26, 2019","139.875","139.875","139.875","139.875","0.00%"
"Jan 25, 2019","139.875","139.875","139.955","138.225","0.00%"
"Jan 24, 2019","139.875","139.875","139.995","138.425","0.00%"
"Jan 23, 2019","139.875","139.875","140.245","138.455","0.00%"
"Jan 22, 2019","139.875","139.825","140.365","138.515","0.02%"
"Jan 21, 2019","139.850","139.130","139.980","138.410","-0.02%"
"Jan 19, 2019","139.880","139.880","139.880","139.880","0.00%"
"Jan 18, 2019","139.880","139.880","139.970","138.350","0.00%"
"Jan 17, 2019","139.880","139.890","139.990","135.440","-0.00%"
"Jan 16, 2019","139.885","139.885","139.965","138.425","0.00%"
"Jan 15, 2019","139.885","139.845","140.915","138.445","0.01%"
"Jan 14, 2019","139.865","139.885","139.985","138.385","-0.01%"
"Jan 12, 2019","139.875","139.875","139.875","139.875","0.00%"
"Jan 11, 2019","139.875","139.875","140.235","138.275","0.00%"
"Jan 10, 2019","139.875","139.875","140.925","138.325","0.00%"
"Jan 09, 2019","139.875","139.875","139.975","138.355","0.00%"
"Jan 08, 2019","139.875","139.825","139.975","138.365","0.02%"
"Jan 07, 2019","139.850","139.850","140.000","138.400","0.00%"
"Jan 05, 2019","139.850","139.850","139.850","139.850","0.00%"
"Jan 04, 2019","139.850","139.850","140.000","135.370","0.00%"
"Jan 03, 2019","139.850","139.850","140.040","138.350","0.00%"
"Jan 02, 2019","139.850","139.750","140.050","138.300","0.04%"
"Jan 01, 2019","139.800","139.800","139.800","139.800","0.00%"
"Dec 31, 2018","139.800","140.000","140.000","138.250","-0.07%"
"Dec 29, 2018","139.900","139.900","139.900","139.900","0.00%"
"Dec 28, 2018","139.900","139.800","139.960","138.050","0.04%"
"Dec 27, 2018","139.850","139.850","140.090","138.350","0.00%"
"Dec 26, 2018","139.850","139.900","139.970","139.210","-0.02%"
"Dec 25, 2018","139.875","139.875","139.875","139.875","0.00%"
"Dec 24, 2018","139.875","139.175","139.875","138.325","0.59%"
"Dec 22, 2018","139.050","139.050","139.050","139.050","-0.54%"
"Dec 21, 2018","139.810","139.950","140.000","139.250","-0.05%"
"Dec 20, 2018","139.875","139.875","139.875","139.625","0.00%"
"Dec 19, 2018","139.875","139.825","139.875","139.185","0.02%"
"Dec 18, 2018","139.850","139.850","139.850","138.200","0.00%"
"Dec 17, 2018","139.850","139.850","139.850","139.650","0.50%"
"Dec 15, 2018","139.150","139.150","139.150","139.150","-0.50%"
"Dec 14, 2018","139.850","139.850","139.950","139.210","0.61%"
"Dec 13, 2018","139.000","139.300","139.420","137.800","-0.61%"
"Dec 12, 2018","139.850","139.750","140.000","135.000","0.04%"
"Dec 11, 2018","139.800","139.800","140.050","135.100","0.00%"
"Dec 10, 2018","139.800","139.200","139.900","135.050","0.58%"
"Dec 08, 2018","139.000","139.000","139.000","139.000","-0.55%"
"Dec 07, 2018","139.775","139.675","139.975","138.025","0.04%"
"Dec 06, 2018","139.725","139.475","139.775","137.675","0.09%"
"Dec 05, 2018","139.600","138.600","139.900","137.250","0.36%"
"Dec 04, 2018","139.100","139.200","139.600","137.550","-0.04%"
"Dec 03, 2018","139.150","138.650","139.350","135.700","0.18%"
"Dec 01, 2018","138.900","138.900","138.900","138.900","0.00%"
"Nov 30, 2018","138.900","136.000","143.100","134.420","3.31%"
"Nov 29, 2018","134.450","134.480","134.600","132.920","-0.01%"
"Nov 28, 2018","134.465","134.485","134.615","132.905","-0.01%"
"Nov 27, 2018","134.475","134.425","134.605","132.895","0.02%"
"Nov 26, 2018","134.450","134.400","134.600","132.870","0.02%"
"Nov 24, 2018","134.425","134.425","134.425","134.425","0.00%"
"Nov 23, 2018","134.425","134.425","134.605","132.825","0.00%"
"Nov 22, 2018","134.425","134.425","134.605","132.925","0.00%"
"Nov 21, 2018","134.425","134.425","134.605","133.125","0.00%"
"Nov 20, 2018","134.425","134.425","134.605","133.125","0.00%"
"Nov 19, 2018","134.425","134.455","134.615","133.125","-0.01%"
"Nov 17, 2018","134.440","134.440","134.440","134.440","0.00%"
"Nov 16, 2018","134.440","134.420","134.600","133.110","0.01%"
"Nov 15, 2018","134.430","134.470","134.600","132.890","-0.01%"
"Nov 14, 2018","134.450","134.350","134.600","133.100","0.04%"
"Nov 13, 2018","134.400","134.400","134.600","132.580","0.00%"
"Nov 12, 2018","134.400","133.600","134.600","131.700","0.30%"
"Nov 10, 2018","134.000","134.000","134.000","134.000","0.00%"
"Nov 09, 2018","134.000","133.250","134.900","132.100","0.28%"
"Nov 08, 2018","133.625","133.625","134.775","132.475","0.00%"
"Nov 07, 2018","133.625","133.775","134.605","132.475","-0.06%"
"Nov 06, 2018","133.700","133.600","134.600","132.400","0.04%"
"Nov 05, 2018","133.650","133.710","134.650","132.450","-0.02%"
"Nov 03, 2018","133.680","133.680","133.680","133.680","0.00%"
"Nov 02, 2018","133.680","133.720","134.600","132.220","-0.01%"
"Nov 01, 2018","133.700","133.850","134.190","132.410","-0.06%"
"Oct 31, 2018","133.775","133.575","134.185","131.835","0.07%"
"Oct 30, 2018","133.675","133.775","134.185","132.015","-0.04%"
"Oct 29, 2018","133.725","133.275","134.215","131.235","0.17%"
